#   zf [m]    tau [s]    u [m/s]     v [m/s]     th [K]   qv [kg/kg]
50 10800 172800 
2 
    9.8193   21600.0    0.488006    0.422851   283.379944  0.006426421
   35.0817   21600.0    0.744515    0.501960   283.812653  0.006352752
   71.7480   21600.0    1.021866    0.470347   284.408356  0.006257583
  120.1642   21600.0    1.308842    0.273180   285.079834  0.006143819
  180.6615   21600.0    1.504483   -0.080294   285.614227  0.006031732
  253.5679   21600.0    1.587337   -0.481239   285.984528  0.005941498
  339.2344   21600.0    1.753107   -0.717891   286.247253  0.005878258
  438.0184   21600.0    2.110066   -0.801601   286.494080  0.005809509
  550.2649   21600.0    2.664098   -0.816534   286.761902  0.005695584
  676.3167   21600.0    3.186754   -0.797535   287.084656  0.005496551
  816.5394   21600.0    3.449045   -0.856867   287.535767  0.005224747
  971.2653   21600.0    3.457364   -1.034069   288.095337  0.004847344
 1140.9553   21600.0    3.101007   -1.872931   289.257324  0.004164351
 1325.9471   21600.0    2.724838   -3.204893   290.854248  0.003628623
 1526.6842   21600.0    2.972725   -4.021314   293.132294  0.002954254
 1743.7451   21600.0    4.218189   -3.844803   296.682098  0.002303367
 1976.1726   21600.0    4.617971   -3.810564   298.000336  0.002216310
 2224.9414   21600.0    4.707400   -2.897465   298.753967  0.002018879
 2490.9185   21600.0    5.323424   -2.038090   300.079926  0.001765657
 2774.2793   21600.0    6.241311   -1.663890   301.742462  0.001095736
 3075.3911   21600.0    6.778202   -2.019420   303.764313  0.000539789
 3394.6018   21600.0    6.778000   -1.859932   306.068756  0.000347148
 3732.0217   21600.0    6.011442   -1.611914   308.236969  0.000472863
 4087.4160   21600.0    5.370335   -1.969197   309.254120  0.001115256
 4461.6558   21600.0    5.729818   -2.779035   310.247559  0.001326510
 4855.0811   21600.0    6.135656   -3.229005   311.317566  0.001158145
 5268.2451   21600.0    7.152491   -3.679070   312.814362  0.000854692
 5702.1470   21600.0    8.725721   -3.846919   315.673981  0.000389313
 6155.4253   21600.0    8.521445   -2.508104   317.368469  0.000293281
 6629.0386   21600.0   10.534760   -4.475342   318.835876  0.000240244
 7123.6313   21600.0   14.104592   -7.451098   320.546509  0.000203471
 7638.5513   21600.0   15.440715   -8.564262   321.320282  0.000277398
 8174.7793   21600.0   14.729112   -9.314650   322.036743  0.000307631
 8733.7412   21600.0   15.524177  -11.849024   323.976562  0.000248594
 9314.7617   21600.0   16.042488  -14.296259   325.981812  0.000173808
 9917.6123   21600.0   16.449425  -16.103384   327.505188  0.000106903
10543.4600   21600.0   18.780382  -19.227768   329.478302  0.000063915
11197.7949   21600.0   21.388258  -23.539259   333.160767  0.000033674
11886.1230   21600.0   17.282207  -17.844238   341.330933  0.000008569
12607.8359   21600.0   15.092753  -14.898299   356.564880  0.000003667
13352.0557   21600.0   14.969297  -12.801772   370.114777  0.000003936
14117.7285   21600.0   14.010673   -8.982660   380.648102  0.000004033
14907.8682   21600.0    8.491865   -7.060899   390.813049  0.000004044
15725.6494   21600.0    6.254286   -4.830982   403.398468  0.000004024
16571.0801   21600.0    7.502146   -2.119174   418.161957  0.000004029
17443.6328   21600.0    4.310638   -1.593421   434.360809  0.000004018
18343.7930   21600.0    0.526098   -3.570204   452.211182  0.000004033
19272.2637   21600.0   -1.829593   -6.485736   472.173157  0.000004055
20228.1445   21600.0   -3.615330   -7.695862   493.137329  0.000003909
21211.8555   21600.0   -4.775685   -7.983448   515.312561  0.000003907

# 10800.00  
    9.8200   21600.0    0.211618    1.418599   281.475983  0.006204918
   35.0971   21600.0    0.342556    1.970696   282.037750  0.006227077
   71.7875   21600.0    0.546807    2.382689   282.820190  0.006231337
  120.2425   21600.0    0.811703    2.622047   283.765686  0.006197876
  180.7936   21600.0    1.044588    2.623838   284.646759  0.006123923
  253.7650   21600.0    1.143869    2.425669   285.407440  0.006015944
  339.4921   21600.0    1.217250    2.143113   285.992157  0.005901074
  438.3133   21600.0    1.418537    1.889812   286.420074  0.005759170
  550.5667   21600.0    1.615682    1.730065   286.726837  0.005565569
  676.6378   21600.0    1.765701    1.633460   287.123779  0.005304418
  816.9341   21600.0    1.730555    1.285604   287.821625  0.004909055
  971.8099   21600.0    1.833694    0.897233   288.822632  0.004416442
 1141.6462   21600.0    1.586461    0.084160   290.220428  0.003956472
 1326.9424   21600.0    2.112297   -1.298481   292.372284  0.003622958
 1528.0081   21600.0    3.623574   -2.783967   295.147369  0.003216231
 1744.3820   21600.0    4.585269   -3.412183   296.390045  0.002907656
 1976.5822   21600.0    4.628717   -2.834737   296.781860  0.002594382
 2225.4910   21600.0    5.190911   -1.928805   297.674805  0.002162602
 2491.6223   21600.0    6.164920   -1.708857   299.321533  0.001661082
 2775.2871   21600.0    6.460287   -2.065258   301.653290  0.000932663
 3076.5925   21600.0    6.618817   -2.610924   304.089233  0.000436060
 3395.5178   21600.0    6.948074   -2.656792   305.899811  0.000308221
 3732.6670   21600.0    7.183409   -2.008553   307.612396  0.000576899
 4088.1606   21600.0    7.568731   -1.373018   308.900726  0.001183713
 4462.2109   21600.0    8.543326   -2.063118   309.749329  0.001428207
 4855.5059   21600.0    8.826753   -2.306355   310.767029  0.001293023
 5268.3052   21600.0    8.947186   -2.552613   311.833771  0.000982051
 5702.0576   21600.0   10.245950   -4.397978   314.483704  0.000595376
 6155.9214   21600.0   10.924356   -3.091011   316.971527  0.000423714
 6629.6123   21600.0   11.671095   -2.948548   318.543121  0.000414485
 7123.9146   21600.0   13.132871   -3.947608   319.895660  0.000374611
 7639.5474   21600.0   15.777345   -5.412112   321.553009  0.000338318
 8176.0269   21600.0   17.297592   -5.472770   322.582336  0.000302465
 8734.9873   21600.0   17.939381   -8.834760   324.526886  0.000251224
 9315.7979   21600.0   18.184017  -11.847458   326.308136  0.000165539
 9918.4502   21600.0   19.283386  -13.903434   327.622009  0.000088678
10543.9883   21600.0   21.767742  -16.912802   329.281372  0.000052739
11196.8330   21600.0   21.583090  -19.760189   331.523926  0.000032331
11886.0908   21600.0   18.397968  -15.345383   340.582184  0.000009316
12608.6787   21600.0   17.369461  -11.575195   356.641876  0.000003718
13353.6367   21600.0   16.816450   -9.720894   370.913177  0.000003906
14119.1074   21600.0   13.391540   -7.993215   381.273193  0.000004000
14908.5049   21600.0    8.330875   -4.278307   390.751953  0.000004024
15726.3369   21600.0    6.903892   -3.162498   403.409027  0.000004002
16571.9648   21600.0    7.720547   -4.341447   418.386078  0.000003994
17444.4668   21600.0    4.684875   -2.989736   434.557953  0.000003984
18344.6816   21600.0    1.438214   -2.401351   452.485596  0.000004000
19273.5254   21600.0   -1.853987   -4.302259   472.840179  0.000004017
20229.7363   21600.0   -4.080579   -5.966605   494.155640  0.000003824
21213.6445   21600.0   -4.757397   -6.758008   516.550903  0.000003801

# 21600.00  
    9.8208   21600.0    0.335883    1.739790   280.930359  0.006153758
   35.0840   21600.0    0.838563    3.155155   281.297546  0.006154687
   71.7707   21600.0    1.558861    4.381291   282.053436  0.006178776
  120.2317   21600.0    2.335801    5.170746   283.046967  0.006209845
  180.8008   21600.0    3.103276    5.595254   284.079346  0.006194847
  253.7955   21600.0    3.774452    5.699805   285.006714  0.006126665
  339.5326   21600.0    4.124907    5.582218   285.669922  0.006013239
  438.3782   21600.0    4.134923    5.289545   286.251648  0.005840753
  550.6886   21600.0    3.986537    4.881823   286.834412  0.005591342
  676.8192   21600.0    3.794341    4.291718   287.466980  0.005264927
  817.1935   21600.0    3.508312    3.655228   288.416260  0.004863795
  972.2115   21600.0    3.757719    2.665156   289.839142  0.004340312
 1142.1985   21600.0    4.044432    1.331749   291.692383  0.003770904
 1327.3948   21600.0    4.680573   -0.114211   293.538391  0.003647328
 1528.0527   21600.0    5.466568   -1.423166   295.201935  0.003442606
 1744.2139   21600.0    5.769732   -1.581591   295.942444  0.003203357
