k z p n
    1   75000.000    2636.454 -
    2   72363.546    2521.165 -
    3   69842.381    2484.584 -
    4   67357.797    2411.353 -
    5   64946.444    2340.145 -
    6   62606.299    2270.832 -
    7   60335.466    2203.299 -
    8   58132.167    2155.952 -
    9   55976.216    2098.286 -
   10   53877.930    2053.245 -
   11   51824.685    1997.735 -
   12   49826.951    1936.202 -
   13   47890.748    1875.973 -
   14   46014.776    1816.981 -
   15   44197.795    1759.168 -
   16   42438.627    1702.476 -
   17   40736.151    1646.853 -
   18   39089.298    1592.250 -
   19   37497.048    1538.621 -
   20   35958.428    1485.921 -
   21   34472.507    1434.110 -
   22   33038.397    1383.148 -
   23   31655.249    1332.999 -
   24   30322.249    1283.627 -
   25   29038.622    1234.999 -
   26   27803.623    1186.273 -
   27   26617.350    1128.387 -
   28   25488.963    1072.055 -
   29   24416.908    1008.112 -
   30   23408.796     947.982 -
   31   22460.814     891.439   1
   32   21569.375     838.268   2
   33   20731.107     788.269   3
   34   19942.837     741.252   4
   35   19201.585     697.040   5
   36   18504.545     655.464   6
   37   17849.081     616.369   7
   38   17232.713     579.605   8
   39   16653.108     545.034   9
   40   16108.074     512.525  10
   41   15595.549     481.955  11
   42   15113.594     453.208  12
   43   14660.386     426.176  13
   44   14234.210     412.686  14
   45   13821.524     400.000  15
   46   13421.524     400.000  16
   47   13021.524     400.000  17
   48   12621.524     400.000  18
   49   12221.524     400.000  19
   50   11821.524     400.000  20
   51   11421.524     400.000  21
   52   11021.524     400.000  22
   53   10621.524     400.000  23
   54   10221.524     400.000  24
   55    9821.524     400.000  25
   56    9421.524     400.000  26
   57    9021.524     400.000  27
   58    8621.524     400.000  28
   59    8221.524     400.000  29
   60    7821.524     400.000  30
   61    7421.524     400.000  31
   62    7021.524     400.000  32
   63    6621.524     400.000  33
   64    6221.524     400.000  34
   65    5821.524     400.000  35
   66    5421.524     387.793  36
   67    5033.731     373.779  37
   68    4659.952     359.831  38
   69    4300.121     345.938  39
   70    3954.183     332.091  40
   71    3622.092     318.277  41
   72    3303.815     304.486  42
   73    2999.329     290.704  43
   74    2708.624     276.918  44
   75    2431.707     263.111  45
   76    2168.596     249.266  46
   77    1919.330     235.364  47
   78    1683.966     221.382  48
   79    1462.584     207.293  49
   80    1255.291     193.067  50
   81    1062.224     178.666  51
   82     883.557     164.044  52
   83     719.514     149.141  53
   84     570.373     133.880  54
   85     436.493     118.157  55
   86     318.336     101.820  56
   87     216.516      84.636  57
   88     131.880      66.203  58
   89      65.677      45.677  59
   90      20.000      20.000  60
   91       0.000       0.000  61
