k z p
1 75000.000 2807.367
2 72192.633 2371.205
3 69821.428 2199.602
4 67621.825 2080.358
5 65541.467 1986.050
6 63555.417 1906.631
7 61648.787 1837.238
8 59811.549 1775.127
9 58036.422 1718.591
10 56317.831 1666.487
11 54651.343 1618.013
12 53033.330 1572.579
13 51460.750 1529.740
14 49931.011 1489.147
15 48441.864 1450.526
16 46991.338 1413.652
17 45577.686 1378.341
18 44199.346 1344.438
19 42854.907 1311.815
20 41543.092 1280.359
21 40262.733 1249.974
22 39012.760 1220.576
23 37792.183 1192.093
24 36600.091 1164.458
25 35435.633 1137.615
26 34298.018 1111.511
27 33186.507 1086.100
28 32100.407 1061.341
29 31039.066 1037.195
30 30001.871 1013.627
31 28988.245 990.605
32 27997.639 968.101
33 27029.538 946.087
34 26083.451 924.539
35 25158.912 903.433
36 24255.479 882.748
37 23372.731 862.464
38 22510.267 842.562
39 21667.705 823.025
40 20844.680 803.835
41 20040.845 784.978
42 19255.866 766.439
43 18489.427 748.203
44 17741.224 730.258
45 17010.966 712.591
46 16298.375 695.190
47 15603.185 678.043
48 14925.142 661.139
49 14264.003 644.469
50 13619.534 628.021
51 12991.513 611.786
52 12379.727 595.754
53 11783.973 579.917
54 11204.056 564.264
55 10639.792 548.788
56 10091.004 533.480
57 9557.524 518.331
58 9039.193 503.333
59 8535.860 488.477
60 8047.383 473.757
61 7573.626 459.162
62 7114.464 444.686
63 6669.778 430.319
64 6239.459 416.054
65 5823.405 401.881
66 5421.524 387.793
67 5033.731 373.779
68 4659.952 359.831
69 4300.121 345.938
70 3954.183 332.091
71 3622.092 318.277
72 3303.815 304.486
73 2999.329 290.704
74 2708.624 276.918
75 2431.707 263.111
76 2168.596 249.266
77 1919.330 235.364
78 1683.966 221.382
79 1462.584 207.293
80 1255.291 193.067
81 1062.224 178.666
82 883.557 164.044
83 719.514 149.141
84 570.373 133.880
85 436.493 118.157
86 318.336 101.820
87 216.516 84.636
88 131.880 66.203
89 65.677 45.677
90 20.000 20.000
