pres_sfc  PS                                                                              
temp  T                                              
vn  normal_velocity                                
u  U                                              
v  V                                              
w  W                                              
pres  P                                              
z_mc  ZF3                                            
z_ifc  ZH3                                            
tracer  Q1                                             
qv  QV                                             
qc  QC                                             
qi  QI                                             
qr  QR                                             
qs  QS                                             
tracer_vi  TQ1                                            
tracer_vi_avg  TQ1_avg                                        
O3  O3                                             
tracer_rate  PRR_GSP                                        
tra_rate_qv  PRR_GSP                                        
tra_rate_qc  PRS_GSP                                        
rain_gsp  RAIN_GSP                                       
snow_gsp  SNOW_GSP                                       
rain_con  RAIN_CON                                       
snow_con  SNOW_CON                                       
tot_prec  TOT_PREC
tot_prec_rate_avg  TOT_PREC_RATE_avg                              
con_prec_rate_avg  CON_PREC_RATE_avg                              
gsp_prec_rate_avg  GSP_PREC_RATE_avg                              
tke  TKE                                            
tcm  TCM                                            
tch  TCH                                            
t_g  T_G                                            
t_gt  T_GT                                    
t_gt_1  T_GT                                    
t_snow  T_SNOW                                  
t_snow_1  T_SNOW                                  
t_snow_mult  T_SNOW_MULT                             
t_snow_mult_1  T_SNOW_MULT                             
t_s  T_S                                      
t_s_1  T_S                                     
w_snow  W_SNOW                                  
w_snow_1  W_SNOW                                  
rho_snow  RHO_SNOW                                
rho_snow_1  RHO_SNOW                                
rho_snow_mult  RHO_SNOW_MULT                           
rho_snow_mult_1  RHO_SNOW_MULT                           
w_i  W_I                                      
w_i_1  W_I                                     
t_so  T_SO                                    
t_so_1  T_SO                                   
w_so  W_SO                                    
w_so_1  W_SO                                  
w_so_ice  W_SO_ICE                                
w_so_ice_1  W_SO_ICE                                
wliq_snow  WLIQ_SNOW                               
wliq_snow_1  WLIQ_SNOW                               
wtot_snow  WTOT_SNOW                               
wtot_snow_1  WTOT_SNOW                               
h_snow  H_SNOW                                  
h_snow_1  H_SNOW                                  
dzh_snow  DZH_SNOW                                
dzh_snow_1  DZH_SNOW                                
qv_s  QV_S                                           
ACCTHB_S   ATHB_S
ACCTHB_T   ATHB_T
ACCSOB_S   ASOB_S
ACCSOB_T   ASOB_T                                      
ACCSHFL_S  ASHFL_S                                      
ACCLHFL_S  ALHFL_S                                      
qhfl_s_avg  EVAP_RATE_avg                                  
pres_sfc_s6avg  PS_s6avg                                       
T_2M  T_2M                                           
T_2M_s6avg  T_2M_s6avg                                     
QV_2M  QV_2M                                          
QV_2M_s6avg  QV_2M_s6avg                                    
U_10M  U_10M                                          
V_10M  V_10M                                          
U_10M_s6avg  U_10M_s6avg                                    
V_10M_s6avg  V_10M_s6avg                                    
omega_z  VOR                                            
div  DIV                                            
theta_v  THETA_V                                        
exner  EXNER                   
rho  RHO
